дата;категория;описание;сумма;способ_оплаты;необходимость
01.09.2025;Развлечения;Покупка в категории Развлечения;4956;Перевод;Желательное
01.09.2025;Образование;Покупка в категории Образование;15737;Наличные;Импульсивное
02.09.2025;Образование;Покупка в категории Образование;16742;Наличные;Необходимое
02.09.2025;Прочее;Покупка в категории Прочее;788;Наличные;Импульсивное
02.09.2025;Здоровье;Покупка в категории Здоровье;7067;Карта;Необходимое
02.09.2025;Коммунальные;Покупка в категории Коммунальные;5668;Наличные;Необходимое
02.09.2025;Образование;Покупка в категории Образование;15690;Карта;Желательное
02.09.2025;Транспорт;Покупка в категории Транспорт;106;Наличные;Необходимое
03.09.2025;Развлечения;Покупка в категории Развлечения;548;Карта;Необходимое
04.09.2025;Прочее;Покупка в категории Прочее;2516;Карта;Импульсивное
04.09.2025;Здоровье;Покупка в категории Здоровье;3550;Перевод;Импульсивное
04.09.2025;Развлечения;Покупка в категории Развлечения;2293;Наличные;Необходимое
04.09.2025;Транспорт;Покупка в категории Транспорт;951;Карта;Импульсивное
04.09.2025;Коммунальные;Покупка в категории Коммунальные;3430;Перевод;Импульсивное
05.09.2025;Транспорт;Покупка в категории Транспорт;1065;Наличные;Необходимое
06.09.2025;Образование;Покупка в категории Образование;3502;Наличные;Импульсивное
06.09.2025;Одежда;Покупка в категории Одежда;2224;Карта;Необходимое
06.09.2025;Транспорт;Покупка в категории Транспорт;447;Карта;Желательное
06.09.2025;Прочее;Покупка в категории Прочее;429;Перевод;Желательное
06.09.2025;Транспорт;Покупка в категории Транспорт;1071;Карта;Необходимое
06.09.2025;Транспорт;Покупка в категории Транспорт;454;Карта;Необходимое
06.09.2025;Одежда;Покупка в категории Одежда;11045;Перевод;Желательное
06.09.2025;Развлечения;Покупка в категории Развлечения;4060;Перевод;Импульсивное
07.09.2025;Коммунальные;Покупка в категории Коммунальные;6607;Карта;Необходимое
07.09.2025;Прочее;Покупка в категории Прочее;382;Перевод;Импульсивное
07.09.2025;Здоровье;Покупка в категории Здоровье;2512;Перевод;Желательное
07.09.2025;Развлечения;Покупка в категории Развлечения;1694;Перевод;Необходимое
07.09.2025;Образование;Покупка в категории Образование;10621;Карта;Желательное
08.09.2025;Прочее;Покупка в категории Прочее;1389;Наличные;Желательное
08.09.2025;Одежда;Покупка в категории Одежда;7207;Карта;Желательное
08.09.2025;Образование;Покупка в категории Образование;10523;Карта;Импульсивное
08.09.2025;Коммунальные;Покупка в категории Коммунальные;3589;Перевод;Импульсивное
08.09.2025;Прочее;Покупка в категории Прочее;2848;Перевод;Импульсивное
09.09.2025;Образование;Покупка в категории Образование;10395;Карта;Желательное
09.09.2025;Транспорт;Покупка в категории Транспорт;1249;Наличные;Желательное
09.09.2025;Продукты;Покупка в категории Продукты;2224;Наличные;Необходимое
09.09.2025;Развлечения;Покупка в категории Развлечения;3988;Карта;Желательное
09.09.2025;Одежда;Покупка в категории Одежда;12842;Наличные;Необходимое
09.09.2025;Развлечения;Покупка в категории Развлечения;3238;Наличные;Импульсивное
10.09.2025;Транспорт;Покупка в категории Транспорт;1412;Перевод;Желательное
11.09.2025;Продукты;Покупка в категории Продукты;492;Наличные;Необходимое
11.09.2025;Прочее;Покупка в категории Прочее;219;Наличные;Импульсивное
11.09.2025;Одежда;Покупка в категории Одежда;10929;Карта;Желательное
11.09.2025;Здоровье;Покупка в категории Здоровье;1102;Наличные;Желательное
11.09.2025;Здоровье;Покупка в категории Здоровье;7867;Карта;Необходимое
11.09.2025;Прочее;Покупка в категории Прочее;1965;Перевод;Импульсивное
12.09.2025;Развлечения;Покупка в категории Развлечения;3023;Перевод;Желательное
13.09.2025;Здоровье;Покупка в категории Здоровье;6326;Карта;Желательное
13.09.2025;Прочее;Покупка в категории Прочее;1472;Перевод;Необходимое
13.09.2025;Продукты;Покупка в категории Продукты;577;Перевод;Импульсивное
13.09.2025;Продукты;Покупка в категории Продукты;2722;Карта;Необходимое
13.09.2025;Развлечения;Покупка в категории Развлечения;1190;Наличные;Желательное
13.09.2025;Развлечения;Покупка в категории Развлечения;1125;Наличные;Импульсивное
13.09.2025;Развлечения;Покупка в категории Развлечения;1546;Перевод;Импульсивное
13.09.2025;Развлечения;Покупка в категории Развлечения;3696;Карта;Необходимое
14.09.2025;Образование;Покупка в категории Образование;1784;Наличные;Импульсивное
14.09.2025;Развлечения;Покупка в категории Развлечения;526;Перевод;Импульсивное
14.09.2025;Транспорт;Покупка в категории Транспорт;1438;Карта;Необходимое
14.09.2025;Продукты;Покупка в категории Продукты;1350;Перевод;Необходимое
15.09.2025;Продукты;Покупка в категории Продукты;1866;Наличные;Желательное
16.09.2025;Образование;Покупка в категории Образование;19820;Наличные;Необходимое
16.09.2025;Развлечения;Покупка в категории Развлечения;1533;Наличные;Импульсивное
16.09.2025;Продукты;Покупка в категории Продукты;1082;Карта;Импульсивное
16.09.2025;Здоровье;Покупка в категории Здоровье;3363;Перевод;Импульсивное
17.09.2025;Прочее;Покупка в категории Прочее;1896;Перевод;Импульсивное
18.09.2025;Коммунальные;Покупка в категории Коммунальные;1531;Карта;Импульсивное
18.09.2025;Образование;Покупка в категории Образование;4874;Перевод;Необходимое
18.09.2025;Прочее;Покупка в категории Прочее;399;Перевод;Импульсивное
18.09.2025;Образование;Покупка в категории Образование;19555;Перевод;Желательное
18.09.2025;Образование;Покупка в категории Образование;11974;Наличные;Желательное
18.09.2025;Транспорт;Покупка в категории Транспорт;1314;Перевод;Необходимое
19.09.2025;Прочее;Покупка в категории Прочее;323;Карта;Необходимое
19.09.2025;Развлечения;Покупка в категории Развлечения;4744;Карта;Необходимое
19.09.2025;Продукты;Покупка в категории Продукты;2455;Перевод;Необходимое
20.09.2025;Транспорт;Покупка в категории Транспорт;309;Карта;Импульсивное
20.09.2025;Продукты;Покупка в категории Продукты;1645;Наличные;Необходимое
21.09.2025;Образование;Покупка в категории Образование;6328;Наличные;Необходимое
21.09.2025;Прочее;Покупка в категории Прочее;2926;Перевод;Необходимое
21.09.2025;Здоровье;Покупка в категории Здоровье;5360;Перевод;Импульсивное
21.09.2025;Прочее;Покупка в категории Прочее;282;Наличные;Импульсивное
21.09.2025;Здоровье;Покупка в категории Здоровье;7265;Наличные;Необходимое
22.09.2025;Продукты;Покупка в категории Продукты;1623;Карта;Желательное
22.09.2025;Образование;Покупка в категории Образование;16788;Карта;Импульсивное
23.09.2025;Одежда;Покупка в категории Одежда;9769;Наличные;Импульсивное
23.09.2025;Здоровье;Покупка в категории Здоровье;7711;Перевод;Необходимое
23.09.2025;Развлечения;Покупка в категории Развлечения;4355;Наличные;Желательное
23.09.2025;Образование;Покупка в категории Образование;21033;Перевод;Необходимое
23.09.2025;Образование;Покупка в категории Образование;24287;Наличные;Желательное
24.09.2025;Прочее;Покупка в категории Прочее;2898;Перевод;Желательное
25.09.2025;Транспорт;Покупка в категории Транспорт;546;Карта;Импульсивное
25.09.2025;Одежда;Покупка в категории Одежда;9422;Наличные;Необходимое
25.09.2025;Развлечения;Покупка в категории Развлечения;2286;Перевод;Желательное
26.09.2025;Прочее;Покупка в категории Прочее;930;Наличные;Импульсивное
26.09.2025;Транспорт;Покупка в категории Транспорт;309;Карта;Желательное
26.09.2025;Коммунальные;Покупка в категории Коммунальные;7623;Перевод;Желательное
26.09.2025;Здоровье;Покупка в категории Здоровье;5889;Наличные;Импульсивное
27.09.2025;Одежда;Покупка в категории Одежда;11281;Наличные;Желательное
27.09.2025;Одежда;Покупка в категории Одежда;8362;Наличные;Желательное
27.09.2025;Здоровье;Покупка в категории Здоровье;6570;Перевод;Желательное
27.09.2025;Одежда;Покупка в категории Одежда;4342;Перевод;Импульсивное
27.09.2025;Прочее;Покупка в категории Прочее;1327;Наличные;Импульсивное
27.09.2025;Коммунальные;Покупка в категории Коммунальные;2983;Наличные;Импульсивное
27.09.2025;Одежда;Покупка в категории Одежда;8509;Наличные;Желательное
28.09.2025;Образование;Покупка в категории Образование;2279;Перевод;Желательное
28.09.2025;Одежда;Покупка в категории Одежда;3245;Перевод;Импульсивное
28.09.2025;Продукты;Покупка в категории Продукты;3203;Карта;Импульсивное
29.09.2025;Здоровье;Покупка в категории Здоровье;1255;Наличные;Желательное
29.09.2025;Прочее;Покупка в категории Прочее;1395;Перевод;Необходимое
29.09.2025;Коммунальные;Покупка в категории Коммунальные;5715;Наличные;Желательное
29.09.2025;Продукты;Покупка в категории Продукты;853;Наличные;Желательное
30.09.2025;Здоровье;Покупка в категории Здоровье;2004;Карта;Необходимое
30.09.2025;Здоровье;Покупка в категории Здоровье;1580;Наличные;Необходимое
